case:concept:name,concept:name,time:timestamp,Variant,Variant index,(case) creator,(case) variant,(case) variant-index,Resource,Variant,Variant2_index,Variant3,customer,lifecycle:transition,product,responsible_section,seriousness,seriousness_2,service_level,service_type,support_section,workgroup
Case100,Resolve ticket,21:00.0,Variant 10,10,Fluxicon Disco,Variant 10,10,Value 2,Variant 10,10,Variant 10,Value 44,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case100,Closed,21:20.0,Variant 10,10,Fluxicon Disco,Variant 10,10,Value 3,Variant 10,10,Variant 10,Value 44,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1000,Assign seriousness,53:28.0,Variant 4,4,Fluxicon Disco,Variant 4,4,Value 2,Variant 4,4,Variant 4,Value 92,complete,Value 3,Value 4,Value 1,Value 2,Value 2,Value 1,Value 3,Value 1
Case1000,Assign seriousness,53:34.0,Variant 4,4,Fluxicon Disco,Variant 4,4,Value 2,Variant 4,4,Variant 4,Value 92,complete,Value 3,Value 4,Value 1,Value 2,Value 2,Value 1,Value 3,Value 1
Case1000,Take in charge ticket,53:40.0,Variant 4,4,Fluxicon Disco,Variant 4,4,Value 2,Variant 4,4,Variant 4,Value 92,complete,Value 3,Value 4,Value 1,Value 2,Value 2,Value 1,Value 3,Value 1
Case1000,Resolve ticket,06:53.0,Variant 4,4,Fluxicon Disco,Variant 4,4,Value 2,Variant 4,4,Variant 4,Value 92,complete,Value 3,Value 4,Value 1,Value 2,Value 2,Value 1,Value 3,Value 1
Case1000,Closed,00:57.0,Variant 4,4,Fluxicon Disco,Variant 4,4,Value 5,Variant 4,4,Variant 4,Value 92,complete,Value 3,Value 4,Value 1,Value 2,Value 2,Value 1,Value 3,Value 1
Case1001,Assign seriousness,01:24.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 4,Variant 1,1,Variant 1,Value 239,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1001,Take in charge ticket,08:33.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 4,Variant 1,1,Variant 1,Value 239,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1001,Resolve ticket,31:21.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 4,Variant 1,1,Variant 1,Value 239,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1001,Closed,31:36.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 3,Variant 1,1,Variant 1,Value 239,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1002,Assign seriousness,36:10.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 19,Variant 1,1,Variant 1,Value 18,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1002,Take in charge ticket,34:45.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 18,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1002,Resolve ticket,42:25.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 18,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1002,Closed,40:32.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 18,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1003,Assign seriousness,23:52.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 8,Variant 1,1,Variant 1,Value 20,complete,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1003,Take in charge ticket,55:50.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 20,complete,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1003,Resolve ticket,59:03.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 20,complete,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1003,Closed,59:20.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 20,complete,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case1004,Assign seriousness,09:20.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 1,Variant 1,1,Variant 1,Value 27,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1004,Take in charge ticket,52:05.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 9,Variant 1,1,Variant 1,Value 27,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1004,Resolve ticket,29:02.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 9,Variant 1,1,Variant 1,Value 27,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1004,Closed,10:49.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 27,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1005,Assign seriousness,35:14.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 8,Variant 1,1,Variant 1,Value 83,complete,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
Case1005,Take in charge ticket,49:10.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 83,complete,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
Case1005,Resolve ticket,26:36.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 83,complete,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
Case1005,Closed,40:43.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 83,complete,Value 2,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
Case1006,Assign seriousness,09:40.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 255,complete,Value 3,Value 6,Value 1,Value 1,Value 2,Value 1,Value 5,Value 1
Case1006,Take in charge ticket,09:51.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 255,complete,Value 3,Value 6,Value 1,Value 1,Value 2,Value 1,Value 5,Value 1
Case1006,Resolve ticket,09:59.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 255,complete,Value 3,Value 6,Value 1,Value 1,Value 2,Value 1,Value 5,Value 1
Case1006,Closed,10:33.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 255,complete,Value 3,Value 6,Value 1,Value 1,Value 2,Value 1,Value 5,Value 1
Case1007,Assign seriousness,47:41.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 1,Variant 1,1,Variant 1,Value 256,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 2
Case1007,Take in charge ticket,23:49.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 9,Variant 1,1,Variant 1,Value 256,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 2
Case1007,Resolve ticket,37:18.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 12,Variant 1,1,Variant 1,Value 256,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 2
Case1007,Closed,37:28.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 3,Variant 1,1,Variant 1,Value 256,complete,Value 1,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 2
Case1008,Assign seriousness,35:19.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 4,Variant 1,1,Variant 1,Value 96,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1008,Take in charge ticket,19:46.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 16,Variant 1,1,Variant 1,Value 96,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1008,Resolve ticket,37:15.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 16,Variant 1,1,Variant 1,Value 96,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1008,Closed,40:25.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 96,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1009,Assign seriousness,11:25.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 1,Variant 2,2,Variant 2,Value 26,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case1009,Take in charge ticket,23:17.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 9,Variant 2,2,Variant 2,Value 26,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case1009,Wait,07:29.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 9,Variant 2,2,Variant 2,Value 26,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case1009,Resolve ticket,53:06.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 9,Variant 2,2,Variant 2,Value 26,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case1009,Closed,10:31.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 5,Variant 2,2,Variant 2,Value 26,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case101,Insert ticket,47:15.0,Variant 7,7,Fluxicon Disco,Variant 7,7,Value 15,Variant 7,7,Variant 7,Value 18,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case101,Assign seriousness,18:15.0,Variant 7,7,Fluxicon Disco,Variant 7,7,Value 15,Variant 7,7,Variant 7,Value 18,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case101,Take in charge ticket,35:47.0,Variant 7,7,Fluxicon Disco,Variant 7,7,Value 2,Variant 7,7,Variant 7,Value 18,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case101,Resolve ticket,33:07.0,Variant 7,7,Fluxicon Disco,Variant 7,7,Value 2,Variant 7,7,Variant 7,Value 18,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case101,Closed,50:24.0,Variant 7,7,Fluxicon Disco,Variant 7,7,Value 5,Variant 7,7,Variant 7,Value 18,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1010,Assign seriousness,11:34.0,Variant 10,10,Fluxicon Disco,Variant 10,10,Value 14,Variant 10,10,Variant 10,Value 177,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case1010,Take in charge ticket,06:24.0,Variant 10,10,Fluxicon Disco,Variant 10,10,Value 2,Variant 10,10,Variant 10,Value 177,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case1010,Require upgrade,12:09.0,Variant 10,10,Fluxicon Disco,Variant 10,10,Value 1,Variant 10,10,Variant 10,Value 177,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case1010,Resolve ticket,38:54.0,Variant 10,10,Fluxicon Disco,Variant 10,10,Value 1,Variant 10,10,Variant 10,Value 177,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case1010,Closed,39:11.0,Variant 10,10,Fluxicon Disco,Variant 10,10,Value 3,Variant 10,10,Variant 10,Value 177,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case1011,Insert ticket,37:27.0,Variant 7,7,Fluxicon Disco,Variant 7,7,Value 15,Variant 7,7,Variant 7,Value 163,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1011,Assign seriousness,44:32.0,Variant 7,7,Fluxicon Disco,Variant 7,7,Value 15,Variant 7,7,Variant 7,Value 163,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1011,Take in charge ticket,44:54.0,Variant 7,7,Fluxicon Disco,Variant 7,7,Value 15,Variant 7,7,Variant 7,Value 163,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1011,Resolve ticket,55:58.0,Variant 7,7,Fluxicon Disco,Variant 7,7,Value 15,Variant 7,7,Variant 7,Value 163,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1011,Closed,40:25.0,Variant 7,7,Fluxicon Disco,Variant 7,7,Value 5,Variant 7,7,Variant 7,Value 163,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1012,Assign seriousness,14:28.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 182,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1012,Take in charge ticket,38:09.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 182,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1012,Resolve ticket,38:45.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 182,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1012,Closed,20:26.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 182,complete,Value 3,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1013,Assign seriousness,32:54.0,Variant 5,5,Fluxicon Disco,Variant 5,5,Value 1,Variant 5,5,Variant 5,Value 18,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1013,Resolve ticket,50:49.0,Variant 5,5,Fluxicon Disco,Variant 5,5,Value 9,Variant 5,5,Variant 5,Value 18,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1013,Closed,40:37.0,Variant 5,5,Fluxicon Disco,Variant 5,5,Value 5,Variant 5,5,Variant 5,Value 18,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1014,Assign seriousness,41:06.0,Variant 3,3,Fluxicon Disco,Variant 3,3,Value 8,Variant 3,3,Variant 3,Value 9,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1014,Take in charge ticket,50:44.0,Variant 3,3,Fluxicon Disco,Variant 3,3,Value 6,Variant 3,3,Variant 3,Value 9,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1014,Wait,51:13.0,Variant 3,3,Fluxicon Disco,Variant 3,3,Value 6,Variant 3,3,Variant 3,Value 9,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1014,Take in charge ticket,53:03.0,Variant 3,3,Fluxicon Disco,Variant 3,3,Value 6,Variant 3,3,Variant 3,Value 9,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1014,Resolve ticket,55:17.0,Variant 3,3,Fluxicon Disco,Variant 3,3,Value 6,Variant 3,3,Variant 3,Value 9,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1014,Closed,55:37.0,Variant 3,3,Fluxicon Disco,Variant 3,3,Value 5,Variant 3,3,Variant 3,Value 9,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1015,Assign seriousness,44:10.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 1,Variant 1,1,Variant 1,Value 14,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1015,Take in charge ticket,48:04.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 14,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1015,Resolve ticket,07:17.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 14,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1015,Closed,50:15.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 14,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1016,Assign seriousness,43:01.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 8,Variant 1,1,Variant 1,Value 8,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1016,Take in charge ticket,45:30.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 8,Variant 1,1,Variant 1,Value 8,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1016,Resolve ticket,57:33.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 16,Variant 1,1,Variant 1,Value 8,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1016,Closed,50:56.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 8,complete,Value 3,Value 1,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case1017,Assign seriousness,24:46.0,Variant 26,26,Fluxicon Disco,Variant 26,26,Value 1,Variant 26,26,Variant 26,Value 104,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case1017,Take in charge ticket,51:17.0,Variant 26,26,Fluxicon Disco,Variant 26,26,Value 3,Variant 26,26,Variant 26,Value 104,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case1017,Wait,56:36.0,Variant 26,26,Fluxicon Disco,Variant 26,26,Value 4,Variant 26,26,Variant 26,Value 104,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case1017,Resolve ticket,03:02.0,Variant 26,26,Fluxicon Disco,Variant 26,26,Value 4,Variant 26,26,Variant 26,Value 104,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case1017,Resolve ticket,03:22.0,Variant 26,26,Fluxicon Disco,Variant 26,26,Value 4,Variant 26,26,Variant 26,Value 104,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case1017,Closed,03:17.0,Variant 26,26,Fluxicon Disco,Variant 26,26,Value 3,Variant 26,26,Variant 26,Value 104,complete,Value 1,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case1018,Assign seriousness,03:22.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 14,Variant 1,1,Variant 1,Value 10,complete,Value 3,Value 1,Value 1,Value 2,Value 3,Value 3,Value 1,Value 1
Case1018,Take in charge ticket,48:31.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 14,Variant 1,1,Variant 1,Value 10,complete,Value 3,Value 1,Value 1,Value 2,Value 3,Value 3,Value 1,Value 1
Case1018,Resolve ticket,24:19.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 10,complete,Value 3,Value 1,Value 1,Value 2,Value 3,Value 3,Value 1,Value 1
Case1018,Closed,24:51.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 10,complete,Value 3,Value 1,Value 1,Value 2,Value 3,Value 3,Value 1,Value 1
Case1019,Assign seriousness,35:55.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 1,Variant 2,2,Variant 2,Value 257,complete,Value 6,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1019,Take in charge ticket,12:43.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 2,Variant 2,2,Variant 2,Value 257,complete,Value 6,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1019,Wait,33:32.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 1,Variant 2,2,Variant 2,Value 257,complete,Value 6,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1019,Resolve ticket,43:19.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 1,Variant 2,2,Variant 2,Value 257,complete,Value 6,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1019,Closed,43:39.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 3,Variant 2,2,Variant 2,Value 257,complete,Value 6,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case102,Assign seriousness,09:29.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 4,Variant 1,1,Variant 1,Value 62,complete,Value 3,Value 1,Value 1,Value 4,Value 1,Value 1,Value 1,Value 1
Case102,Take in charge ticket,09:57.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 4,Variant 1,1,Variant 1,Value 62,complete,Value 3,Value 1,Value 1,Value 4,Value 1,Value 1,Value 1,Value 1
Case102,Resolve ticket,12:06.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 62,complete,Value 3,Value 1,Value 1,Value 4,Value 1,Value 1,Value 1,Value 1
Case102,Closed,12:11.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 62,complete,Value 3,Value 1,Value 1,Value 4,Value 1,Value 1,Value 1,Value 1
Case1020,Assign seriousness,09:38.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 4,Variant 2,2,Variant 2,Value 220,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1020,Take in charge ticket,09:57.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 4,Variant 2,2,Variant 2,Value 220,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1020,Wait,21:32.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 4,Variant 2,2,Variant 2,Value 220,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1020,Resolve ticket,49:46.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 4,Variant 2,2,Variant 2,Value 220,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1020,Closed,30:28.0,Variant 2,2,Fluxicon Disco,Variant 2,2,Value 5,Variant 2,2,Variant 2,Value 220,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1021,Assign seriousness,59:36.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 6,Variant 1,1,Variant 1,Value 5,complete,Value 3,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case1021,Take in charge ticket,08:06.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 5,complete,Value 3,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case1021,Resolve ticket,17:39.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 2,Variant 1,1,Variant 1,Value 5,complete,Value 3,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case1021,Closed,01:30.0,Variant 1,1,Fluxicon Disco,Variant 1,1,Value 5,Variant 1,1,Variant 1,Value 5,complete,Value 3,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case1022,Assign seriousness,55:40.0,Variant 4,4,Fluxicon Disco,Variant 4,4,Value 1,Variant 4,4,Variant 4,Value 167,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1022,Assign seriousness,55:53.0,Variant 4,4,Fluxicon Disco,Variant 4,4,Value 1,Variant 4,4,Variant 4,Value 167,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1022,Take in charge ticket,59:45.0,Variant 4,4,Fluxicon Disco,Variant 4,4,Value 2,Variant 4,4,Variant 4,Value 167,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case1022,Resolve ticket,39:39.0,Variant 4,4,Fluxicon Disco,Variant 4,4,Value 2,Variant 4,4,Variant 4,Value 167,complete,Value 2,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
